Rk,PLAYER,SALARY_MILLIONS
272,Spencer Hawes,6.35
273,Trey Lyles,2.34
275,Chandler Parsons,22.12
276,Ramon Sessions,6
278,Troy Williams,1.58
279,Luc Mbah a Moute,2.2
280,JaVale McGee,1.4
284,Alex Abrines,5.99
285,Bismack Biyombo,17
288,Lance Thomas,6.19
289,Jerian Grant,1.64
290,Andrew Harrison,1.31
291,Domantas Sabonis,2.44
292,Quincy Acy,1.79
294,Tarik Black,6.19
296,Jason Smith,5
301,Ian Mahinmi,15.94
302,Georgios Papagiannis,2.2
303,Delon Wright,1.58
305,Boban Marjanovic,7
306,Anthony Morrow,3.49
307,Terry Rozier,1.91
309,Malcolm Delaney,2.5
310,Joffrey Lauvergne,1.71
310,Joffrey Lauvergne,1.52
311,Meyers Leonard,9.21
312,Alexis Ajinca,4.64
314,Chasson Randle,1.31
317,Mike Dunleavy,4.84
318,Randy Foye,2.5
319,Cameron Payne,2.11
320,Dewayne Dedmon,2.9
322,Shaun Livingston,5.78
323,Luis Scola,5.5
324,Wayne Selden,1.31
326,Denzel Valentine,2.09
327,Anthony Bennett,1.02
328,Aaron Brooks,2.7
329,Trey Burke,3.39
330,Joakim Noah,17
332,Aron Baynes,6.5
334,Juan Hernangomez,1.99
335,Mario Hezonja,3.91
336,Josh McRoberts,5.78
337,Tiago Splitter,8.55
339,Jarell Eddie,0.06
341,Kevin Seraphin,1.8
342,Isaiah Canaan,1.02
343,Boris Diaw,7
344,Roy Hibbert,5
345,Kris Humphries,4
348,Corey Brewer,7.61
349,Reggie Bullock,2.26
352,Pierre Jackson,0.03
353,Stanley Johnson,2.97
356,Lucas Nogueira,1.92
358,Noah Vonleh,2.75
359,Ed Davis,6.67
360,Tyler Ennis,1.73
363,Brandon Rush,3.5
370,Thon Maker,2.57
373,Anthony Brown,0.06
374,Jarell Martin,1.47
375,Malik Beasley,1.63
376,Kris Dunn,3.87
377,Jonas Jerebko,5
378,Malachi Richardson,1.44
378,Malachi Richardson,1.5
379,Tyus Jones,1.47
381,Adreian Payne,2.02
383,Rashad Vaughn,1.81
384,Tyler Zeller,8
386,Dragan Bender,4.28
388,Dejounte Murray,1.31
389,Jared Sullinger,5.63
395,Henry Ellenson,1.7
396,Paul Pierce,3.53
397,Maurice Ndour,0.54
398,Jakob Poeltl,2.7
399,Briante Weber,1.47
400,Jarrett Jack,0.06
405,Andrew Bogut,0.24
408,Fred VanVleet,1.31
415,Kyle Singler,4.84
418,Omer Asik,9.9
419,DeAndre' Bembry,1.5
419,DeAndre' Bembry,1.57
420,Marcelo Huertas,1.5
420,Marcelo Huertas,1.5
421,Wesley Johnson,5.63
422,Tomas Satoransky,2.87
423,Christian Wood,0.87
424,Bryn Forbes,1.31
425,Andrew Nicholson,6.09
427,Pat Connaughton,1.47
428,DeAndre Liggins,1.58
431,Miles Plumlee,12.5
432,Mike Scott,3.33
435,Greivis Vasquez,4.35
437,James Young,1.83
439,Jake Layman,1.31
440,Treveon Graham,1.31
442,Rakeem Christmas,1.47
444,Demetrius Jackson,1.45
444,Demetrius Jackson,1.38
446,Udonis Haslem,4
448,Marshall Plumlee,1.31
452,Lamar Patterson,0.25
454,Cole Aldrich,7.64
455,Nick Collison,3.75
456,Jordan Hill,4
457,Bruno Caboclo,1.59
458,Deyonta Davis,1.37
458,Deyonta Davis,1.31
459,Ryan Kelly,1.58
460,Jordan Mickey,1.47
463,Mike Miller,3.5
464,Diamond Stone,1.31
466,Brice Johnson,1.33
471,Mike Tobey,0.07
475,Alonzo Gee,0.06
481,John Lucas III,0.98
482,Aaron Harrison,0.87
